id,category,script,prompt,intent,model,response,register,intent_understanding,accuracy,culture,total,failure_mode
P015,customer support,roman,"Yaar mera order nhi aaya abhi tak, 2 ghanta ho gya. I want to cancel it",Order delivery related issue,qwen_3b_base,"I understand that you're experiencing some delays with your order. If you want to cancel the order, you should follow these steps:

1. **Log in to Your Account**: Make sure you're logged into the website or app where you placed the order.

2. **Go to Orders Section**: Navigate to the section where your orders are listed, which is usually under ""My Orders"" or similar.

3. **Find Your Order**: Look for the specific order that has been delayed or hasn't arrived yet.

4. **Cancel the Order**: Once you find your order, look for an option to cancel or return it if possible. This action may vary slightly depending on the platform and the specific store.

5. **Confirm**: Follow any additional prompts to confirm that you'd like to cancel the order.

If you need more detailed instructions or if you can't find the cancellation option, feel free to provide more information about the platform or website, and I can assist you further.",1,5,4,3,13,language_drift_english
P015,customer support,roman,"Yaar mera order nhi aaya abhi tak, 2 ghanta ho gya. I want to cancel it",Order delivery related issue,gpt_4o_mini,"Agar aapka order abhi tak nahi aaya hai aur aap use cancel karna chahte hain, toh pehle aapko us restaurant ya delivery service ki customer support se sampark karna hoga. Unhe apna order number batayein aur cancellation request karein. Aksar, aap unki website ya app par bhi cancellation option dekh sakte hain. Agar aapko koi dikkat hoti hai, toh mujhe bataiye, main madad karne ki koshish karunga!",5,5,5,5,20,none
P015,customer support,roman,"Yaar mera order nhi aaya abhi tak, 2 ghanta ho gya. I want to cancel it",Order delivery related issue,gpt_4o,"Aapke order mein deri ke liye khed hai. Order cancel karne ke liye, kripya us platform ya website ka use karein jahan se aapne order kiya tha. Aap customer service se bhi sampark kar sakte hain, jo aapki madad karega order cancel karne mein. Aapko order confirmation email ya SMS mein contact details ya order cancel karne ka option mil sakta hai.",5,5,5,5,20,none
P016,customer support,roman,"Yeh kya ho gya hai mere order item ko, chal nhi rha complain karni hai",Order not working complain issue,qwen_3b_base,"आपके योग्यता की एक भूमिका है कि आपके आर्थिक सुविधाओं को पroteect करते हुए अपने चेहरे खुला रखें। तब जो बात आपके लिए उचित है और आपके लिए अच्छा हो सकती है, वह निम्नलिखित किसी भी स्थिति में चाहिए:

1. यदि आप एक वापसी की आवश्यकता दर्शाते हैं, तो यह सुनिश्चित करने के लिए आपको संपूर्ण जानकारी उपलब्ध रखना चाहिए।

2. यदि आपका इनका�",1,1,1,1,4,hallucinated_words
P016,customer support,roman,"Yeh kya ho gya hai mere order item ko, chal nhi rha complain karni hai",Order not working complain issue,gpt_4o_mini,"Agar aapke order item mein koi samasya hai aur wo chal nahi raha hai, to aapko kuch kadam lene padenge:

1. **Customer Support se sampark karein**: Aap jis website ya store se order kiya hai, unka customer support number ya email dhundhein aur unse sampark karein.

2. **Order Details tayar rakhein**: Jab aap complain karte hain, to apne order number, item ka naam, aur koi bhi relevant details tayar rakhein. Yeh unhe madad karega aapki samasya ko jaldi samajhne mein.

3. **Return ya Exchange Policy check karein**: Aksar online stores ke paas return ya exchange policies hote hain. Unhe padhein taaki aapko pata ho ki aap kya kar sakte hain.

4. **Social Media ka istemal karein**: Agar customer support se baat karke aapko samadhan nahi milta, to aap unke social media pages par bhi apni samasya rakh sakte hain, jahan aksar unki response rate achhi hoti hai.

Aasha hai aapki samasya jaldi hal ho jayegi!",5,5,5,5,20,none
P016,customer support,roman,"Yeh kya ho gya hai mere order item ko, chal nhi rha complain karni hai",Order not working complain issue,gpt_4o,"Aapko apne order item ke saath koi samasya ho rahi hai, toh aapko turant customer service se sampark karna chahiye. Aapke order ki status check karne aur complaint darj karne ke liye, aap ye steps follow kar sakte hain:

1. **Order Confirmation Email**: Aapko jo email mili thi jab aapne order kiya tha, usme tracking details aur customer service ka contact information ho sakti hai.

2. **Website/App**: Jis website ya app se aapne order kiya hai, wahan jaakar 'My Orders' section mein apne order ki details check karein aur wahan se 'Contact Support' option ka use karein.

3. **Customer Service Number**: Agar website ya app par contact number diya gaya hai, toh us par call karke apni complaint darj karein.

4. **Email**: Aap customer service ko email bhi kar sakte hain apni samasya detail mein batate hue.

5. **Social Media**: Kai companies social media platforms par bhi active hoti hain. Aap unhe wahan message kar sakte hain.

Aapko apni complaint darj karte waqt apne order ki saari details (order number, product details, problem ka description, etc.) tayyar rakhni chahiye taaki aapki samasya ka samadhan jaldi ho sake",5,5,5,5,20,none
P017,customer support,roman,Tum meri baat owner se karwao mujhe refund nhi mila abhi tak,Order refund related issue,qwen_3b_base,"It seems like there might be some confusion in your message. Could you please provide more details so I can better understand and assist you?

From what I understand, it sounds like you're trying to communicate with an owner or manager about receiving a refund, but haven't received one yet. If that's the case, here are a few steps you could take:

1. **Check Your Communication Channels**: Make sure you have reached out through the correct communication channels. For example, if it's related to a product or service, check if the refund process is available through their website, email, or support chat.

2. **Follow Up Clearly**: When communicating with the owner or manager, be clear and concise about your request for a refund and any relevant information such as your order number, date of purchase, etc.

3. **Document Everything**: Keep a record of all your communications, including dates, times, and any screenshots or copies of emails or messages.

4. **Be Patient and Persistent**: Sometimes, it takes time to resolve issues. Be patient and persistent in following up until your issue is resolved.

If you need help with a specific situation or have more details about your request, feel free to share!",1,4,4,3,12,language_drift_english
P017,customer support,roman,Tum meri baat owner se karwao mujhe refund nhi mila abhi tak,Order refund related issue,gpt_4o_mini,"Agar aapko refund nahi mila hai aur aap owner se baat karna chahte hain, toh aap kuch steps le sakte hain:

1. **Customer Support se sampark karein**: Jis company ya service se aapne refund maanga hai, unke customer support number ya email par sampark karein. Apne order details aur refund request ka reference number zaroor saath mein dein.

2. **Social Media ka istemal karein**: Kabhi-kabhi companies social media platforms par bhi responsive hoti hain. Aap unke official accounts par apna issue post kar sakte hain.

3. **Direct Contact**: Agar aapke paas owner ka contact number ya email hai, toh aap unhe seedha sampark kar sakte hain. 

4. **Formal Complaint**: Agar aapko response nahi milta, toh aap consumer forum ya kisi regulatory authority mein complaint bhi daakhil kar sakte hain.

Kya aapko kisi specific company ya service ka naam pata hai? Shayad main aapko aur madad kar sakoon.",5,5,5,5,20,none
P017,customer support,roman,Tum meri baat owner se karwao mujhe refund nhi mila abhi tak,Order refund related issue,gpt_4o,"Mujhe khed hai ki aapko refund mein samasya ho rahi hai. Kripya mujhe adhik jankari dein, jaise ki aapka order number ya transaction details, taaki main aapki madad kar sakoon. Aap yeh bhi kar sakte hain ki customer service team se sampark karein jisse wo aapki request ko owner tak pahuncha sakein.",5,5,5,5,20,none
P018,customer support,roman,Yaar yeh wrong item deliver hua hai isko replace karna hai,wrong item replacement query.,qwen_3b_base,"Yes, if the wrong item has been delivered and you need to exchange it, here are some steps you can follow:

1. **Contact the Seller/Provider**: Reach out to the seller or provider as soon as possible to inform them about the issue.

2. **Provide Evidence**: If possible, take photos or videos of the wrong item and share them with the seller. This can help them understand the situation more clearly.

3. **Request for Exchange**: Clearly communicate your request for an exchange. Be polite but firm in your communication.

4. **Check Return Policy**: Make sure you understand the return policy of the seller or provider. Some policies might have specific requirements or time frames.

5. **Follow Up**: After sending the wrong item back, keep track of the process. Follow up regularly until you receive the correct item.

6. **Document Everything**: Keep records of all communications, including emails, messages, and any images/videos you took. This documentation will be useful if there are any issues during the exchange process.

If you're not satisfied with the response from the seller or if the exchange process is taking too long, you may also consider seeking help from customer service or platforms like Alibaba Cloud if you purchased from them.

Let me know if you need any other information or assistance!",1,5,4,3,13,language_drift_english
P018,customer support,roman,Yaar yeh wrong item deliver hua hai isko replace karna hai,wrong item replacement query.,gpt_4o_mini,"Agar aapko wrong item deliver hua hai aur aapko ise replace karna hai, toh aapko kuch steps follow karne honge:

1. **Seller ya Customer Service se Sampark Karein**: Jis website ya store se aapne order kiya hai, unki customer service se contact karein. Aksar unke paas chat support, email, ya phone number hota hai.

2. **Order Details Ready Rakhein**: Apne order number, delivery details, aur jo item aapko mila hai uski details tayyar rakhein. Yeh information aapki madad karegi jab aap unse baat karenge.

3. **Return Process Samjhein**: Unse puchhein ki return ya exchange process kya hai. Har store ka apna return policy hota hai, toh unhe padhna zaroori hai.

4. **Item Ko Pack Karein**: Agar aapko item wapas bhejna hai, toh usse acche se pack karein taaki wo damage na ho.

5. **Shipping Label ya Return Instructions**: Agar seller aapko shipping label ya koi specific instructions deta hai, unka dhyaan rakhein.

6. **Follow-Up Karein**: Agar aapne replacement request bhej diya hai, toh thoda intezaar karein aur agar kuch dinon ke andar response nahi aata hai toh dobara follow-up karein.",5,5,5,5,20,none
P018,customer support,roman,Yaar yeh wrong item deliver hua hai isko replace karna hai,wrong item replacement query.,gpt_4o,"Aapke wrong item ko replace karne ke liye aapko kuch kadam uthane honge. Main aapko ek general guideline de raha hoon:

1. **Order Details Check Karein**: Sabse pehle, aap apne order ke details check karein. Ye dekhein ki aapne kya order kiya tha aur kya deliver hua hai.

2. **Customer Service se Sampark Karein**: Jis platform (jaise ki Amazon, Flipkart, ya koi aur online store) se aapne order kiya hai, uski customer service se sampark karein. Unke contact number ya email address unke website par mil jayenge.

3. **Order ID Taiyaar Rakhein**: Customer service se baat karte waqt, apne order ID aur order confirmation email ya receipt ko haath me rakhein. Isse unhe aapki problem ko jaldi samajhne me madad milegi.

4. **Problem Detail Karein**: Customer service representative ko detail me batayen ki aapne kya order kiya tha aur aapko kya mila hai. Agar possible ho, to product ki photo bhi bhej sakte hain.

5. **Replacement Policy Samjhein**: Company ki return aur replacement policy padh lein. Har company ki policy alag hoti hai, to isse aapko ye samajhne me madad milegi ki aap",5,5,5,5,20,none
P019,customer support,roman,"Namaste, mujhe device return ke liye ticket raise karwana hai, help chahiye.",Item replacement query,qwen_3b_base,"Namaste! Sure, I can help you with that. Could you please provide some details about the device you want to return? Here are a few things we need to consider:

1. **Device Information**: Model number, serial number, and any other specific information.
2. **Return Reason**: Was the device faulty or did you change your mind?
3. **Shipping Information**: If you need us to send a return label, do you have a shipping address where we can send it?

Once you provide these details, we can proceed with raising a support ticket on your behalf.",1,4,4,3,12,language_drift_english
P019,customer support,roman,"Namaste, mujhe device return ke liye ticket raise karwana hai, help chahiye.",Item replacement query,gpt_4o_mini,"Namaste! Device return ke liye ticket raise karne ke liye aapko kuch steps follow karne honge. Yahan par main aapko general process bata raha hoon:

1. **Customer Support Contact Karein**: Jis company se aapne device kharida hai, unki customer support website ya helpline par jaakar sampark karein.

2. **Account Login Karein**: Agar aapka account hai, to usme login karein. Yadi aapne online purchase kiya hai to order history mein jaakar device ko dhoondhein.

3. **Return Policy Padhein**: Device return karne ki policy ko padhein, jisse aapko pata chalega ki aapke device ke liye return ka process kya hai aur kya conditions hain.

4. **Ticket Raise Karein**: Customer support section ya return request section par jaakar, wahan par diya gaya form bharein. Aapko device ki details, purchase date, aur return reason dena padega.

5. **Confirmation**: Ticket submit karne ke baad, aapko confirmation email ya message milega. Usme aapko return instructions milenge.

Agar aapko specific company ya device ka naam pata hai, to main aur bhi behtar madad kar sakta hoon.",5,5,5,5,20,none
P019,customer support,roman,"Namaste, mujhe device return ke liye ticket raise karwana hai, help chahiye.",Item replacement query,gpt_4o,"Namaste! Main aapki madad karne ke liye yahaan hoon. Device return ke liye ticket raise karne ke liye aapko kuch steps follow karne padenge. Kripya niche diye gaye steps ko dekhein:

1. **Customer Support Website/Portal:** Apne device ke brand ya service provider ki official website par jaayein aur wahan par 'Support' ya 'Customer Service' section ko dhundhein.

2. **Login/Account:** Agar aapka wahan pehle se account hai, toh login karein. Agar nahi, toh aapko ek account create karna pad sakta hai.

3. **Return/Repair Section:** Website par 'Returns', 'Repairs', ya 'Service Request' jaisa koi option dhundhein.

4. **Ticket Raise Karein:** Wahan aapko 'Raise a Ticket' ya 'Request a Return' ka option milega. Is par click karein.

5. **Details Provide Karein:** Aapko device ki details (jaise model number, purchase date, etc.) aur issue ko detail mein batana hoga.

6. **Confirmation:** Ticket submit karne ke baad aapke paas ek confirmation email ya message aayega jisme ticket number aur further instructions honge.

Agar aapko website par problem ho rahi hai, toh aap unke customer support number par call karke bhi return request initiate",5,5,5,5,20,none
P020,customer support,roman,Yeh notifications nhi aa rhi device par uske liye kya karu?,notifications related issue,qwen_3b_base,"Aapko kisi device par notifications (ping) nahi aa rhi ho to aapko yeh karenge:

1. Device ko reboot kijiye:
   - Aapko device ko apna unique MAC address ko use karke reset kijiye.
   - Jaise device ka name hai, uska MAC address bhi aapko device ke settings mein find kar sakte hain.

2. Aapka device ka firmware update kijiye:
   - Aapka device ke settings mein update options check kijiye.
   - Aapki app store mein bhi check kijiye.

3. Device ke driver ko update kijiye:
   - Device ka make aur model ko use karke internet par search kijiye.
   - Official website se download karke install kijiye.

4. Aapka network connection ko check kijiye:
   - Internet ka status check kijiye.

5. Aapke server/remote system ko check kijiye:
   - If aapko device par notification nahi aa rhi ho to aapke server ki side pe bhi check kijiye.

6. Device par security settings ko check kijiye:
   - Aapke device ka security settings check kijiye jaise notification setting.

Jaise device ko reset karna bahut sabse important hai, isse notifications nahi aa rhi ho device pe bina notification settings ka",1,1,1,1,4,hallucinated_words
P020,customer support,roman,Yeh notifications nhi aa rhi device par uske liye kya karu?,notifications related issue,gpt_4o_mini,"Agar aapke device par notifications nahi aa rahi hain, to aap in kuch steps ko try kar sakte hain:

1. **Settings Check Karein**: 
   - Apne device ki settings mein jaake ""Notifications"" section ko check karein. Wahan par dekhain ki kya notifications enable hain ya nahi.

2. **App Permissions**: 
   - Jis app se aapko notification nahi mil rahi, uski permissions check karein. Settings > Apps > [App Name] > Permissions mein jaake ensure karein ki notifications allow hain.

3. **Do Not Disturb Mode**: 
   - Check karein ki aapka device ""Do Not Disturb"" mode mein to nahi hai. Agar hai, to isse off karein.

4. **Battery Saver Mode**: 
   - Agar aapka device battery saver mode mein hai, to kuch apps ki notifications block ho sakti hain. Isse disable karein.

5. **App Updates**: 
   - Ensure karein ki aapki apps latest version par hain. Play Store ya App Store par jaake updates check karein.

6. **Device Restart**: 
   - Kabhi-kabhi device ko restart karne se bhi problems solve ho jati hain.

7. **App Reinstall**: 
   - Agar specific app se notifications nahi aa rahi hain, to us app ko uninstall karke dobara install",5,5,5,5,20,none
P020,customer support,roman,Yeh notifications nhi aa rhi device par uske liye kya karu?,notifications related issue,gpt_4o,"Agar aapke device par notifications nahi aa rahi hain, toh aap in steps ko follow karke is samasya ko suljha sakte hain:

1. **Settings Check Karein:**
   - Apne device ki ""Settings"" mein jaake ""Notifications"" ya ""Apps & notifications"" section ko khol kar dekhein.
   - Yahan par us specific app ko select karein jisse notifications nahi aa rahi hain aur ensure karein ki notifications enable hain.

2. **Do Not Disturb Mode:**
   - Check karein ki aapka device ""Do Not Disturb"" mode mein nahi hai. Agar hai, toh ise disable karein.

3. **App Permissions:**
   - ""Settings"" mein jaake ""Apps"" section mein jaayein aur us particular app ke liye permissions check karein. Ensure karein ki app ko notifications bhejne ki permission di gayi hai.

4. **Battery Optimization:**
   - Kabhi-kabhi battery optimization settings notifications ko block kar sakti hain. ""Battery"" settings mein jaake ensure karein ki app battery optimization ke liye restrict nahi hai.

5. **App Update:**
   - Google Play Store ya Apple App Store par jaake check karein ki app updated hai. Kisi bhi available update ko install karein.

6. **System Update:**
   - ""Settings"" mein jaake ""System"" ya ""Software Update"" section check kare",5,5,5,5,20,none
P021,question,roman,"Mujhe delhi se mumbai jana hai, kaise jau bus se ya flight se?",how to travel from Delhi to Mumnbai,qwen_3b_base,"Abhi to pahunch garna sabse pehle Delhi ke aas aas ko batao aur fir uss bason par options le sakte ho.

1. Bus: Delhi ke aas aas se Mumbai par direct bus nahi chala jata. Phirse Delhi ke maiyara ko (delhi to mumbai) jayenge, jab aap Delhi ke maiyara ka bus nahi lene tak, phirse Mumbai mein reach kar sakte hain. Kuch zyada baat lagaye ga aur aap 2-3 days tak ja sakte hain.

2. Flight: Delhi ke aas aas se Mumbai mein flight nahi chala jati. Phirse Delhi ke aastan ke (Delhi to Agra) jayenge, jab aap agra mein reach hote hain, phirse agra ke aas aas ke (Agra to Mumbai) jayenge. Aap 1-2 hours tak aapke aastane se ja sakte hain aur 2-3 hours tak aapke aas aas ke se ja sakte hain.

Kya aap bus se jaa sakate hain ya flight se jaa sakate hain?",1,1,1,1,4,hallucinated_words
P021,question,roman,"Mujhe delhi se mumbai jana hai, kaise jau bus se ya flight se?",how to travel from Delhi to Mumnbai,gpt_4o_mini,"Delhi se Mumbai jane ke liye aapke paas do pramukh vikalp hain: bus ya flight. Dono ke apne fayde hain:

**Bus se:**
1. **Sasta:** Bus yatra aam taur par flight ke mukable mein sasti hoti hai.
2. **Sthal:** Bus se aapko Delhi se Mumbai ke beech ke nazare dekhne ko mil sakte hain.
3. **Samay:** Bus yatra mein samay zyada lag sakta hai (lagbhag 18-24 ghante), isliye yeh un logon ke liye sahi hai jo ghoomne ka maza lena chahte hain.

**Flight se:**
1. **Tez:** Flight se aap sirf 2-3 ghante mein pahunch sakte hain.
2. **Sukh:** Air travel zyada sukhad hota hai, aur aapko lambe safar ki thakan nahi hoti.
3. **Samay:** Agar aapke paas samay kam hai, toh flight behtar vikalp hai.

Aap apne samay, budget, aur suvidha ke hisab se vikalp chun sakte hain. Agar samay ki kami hai, toh flight lena behtar hoga, lekin agar aap ghoomna chahte hain aur budget mein hain, toh bus se jaana sahi rahega.",5,5,5,5,20,none
P021,question,roman,"Mujhe delhi se mumbai jana hai, kaise jau bus se ya flight se?",how to travel from Delhi to Mumnbai,gpt_4o,"Delhi se Mumbai jaane ke liye aapke paas do pramukh vikalp hain: bus aur flight. Dono ke apne fayde aur nuksan hain:

1. **Bus se:**
   - **Fayde:** 
     - Bus ka safar flight ke mukable kaafi sasta hota hai.
     - Aapko alag-alag bus vikalp mil sakte hain, jaise Volvo, sleeper, non-AC, etc.
     - Aap beech mein kahin bhi ruk sakte hain agar aapko kuch dekhna ya khana ho.
   - **Nuksan:** 
     - Bus se safar mein kaafi samay lagta hai, lagbhag 24-30 ghante.
     - Yatra thodi thakavat bhari ho sakti hai, vishesh roop se agar rasta lamba hai.

2. **Flight se:**
   - **Fayde:** 
     - Flight se yatra ka samay kaafi kam ho jata hai, lagbhag 2-3 ghante ka safar hai.
     - Yatra aaraamdayak hoti hai aur aap jaldi apni manzil tak pahunch sakte hain.
   - **Nuksan:** 
     - Flight ki ticket bus ke mukable mehngi hoti hai.
     - Aapko airport tak pahunchne aur wahan",5,5,5,5,20,none
P022,question,roman,Bhaiya yeh apple kitne mai diya?,Asking apple cost,qwen_3b_base,"I'm sorry, but there seems to be a misunderstanding. It appears you might be using informal language or a local term that I'm not familiar with. Could you please clarify what you mean? Are you asking about how many apples I gave you? Or is this related to a specific context or story?",1,3,5,2,11,language_drift_english
P022,question,roman,Bhaiya yeh apple kitne mai diya?,Asking apple cost,gpt_4o_mini,"Mujhe maaf kariye, lekin mujhe aapke aas-paas ki dukanon ya bazaaron ke daam nahi pata hain. Aap apne aas-paas ki dukan ya online grocery store par check kar sakte hain. Agar aapko kisi specific variety ya type of apple ka daam chahiye, toh woh bhi mujhe bata sakte hain.",5,5,5,5,20,none
P022,question,roman,Bhaiya yeh apple kitne mai diya?,Asking apple cost,gpt_4o,"Bhaiya, yeh apple kis rate pe diya hai yeh toh shop ya market ke upar depend karta hai. Aap kis jagah se ya kis shop se kharid rahe hain, us par bhi price vary kar sakta hai. Aap local market me puch sakte hain ya online check kar sakte hain current prices ke liye.",5,5,5,5,20,none
P023,question,roman,"5000 ki SIP karna hai monthly, koi achi mutual fund bata?",Asking about best mutual fund for 5k SIP,qwen_3b_base,"Aapka 5000 rupee monthly SIP (Systematic Investment Plan) karni hai, to apne options:

1. **Kotak MF SIP**:
   - **Yield**: 8-9%
   - **SIP Option**: Aapke 5000 rupee monthly se pahle 3 months ke baad start kar sakte hain.
   - **Kritika**: Tumhe 5000 rupee ka monthly SIP offer nahi hota.

2. **Axis Mutual Fund**:
   - **Yield**: 7-8%
   - **SIP Option**: 5000 rupee ka monthly SIP available hai.
   - **Kritika**: Tumhe 5000 rupee ka monthly SIP offer nahi hota.

3. **HDFC Mutual Fund**:
   - **Yield**: 6-7%
   - **SIP Option**: 5000 rupee ka monthly SIP available hai.
   - **Kritika**: Tumhe 5000 rupee ka monthly SIP offer nahi hota.

4. **Motilal Oswal**:
   - **Yield**: 5-6%
   - **SIP Option**: 5000 rupee ka monthly SIP available hai.
   - **Kritika**: Tumhe 5000 rupee",2,2,1,2,7,hallucinated_facts
P023,question,roman,"5000 ki SIP karna hai monthly, koi achi mutual fund bata?",Asking about best mutual fund for 5k SIP,gpt_4o_mini,"Mutual funds mein invest karte waqt aapki financial goals, risk tolerance, aur investment horizon ko dhyan mein rakhna zaroori hai. Agar aap ₹5000 ki SIP (Systematic Investment Plan) karna chahte hain, to yahan kuch achi mutual funds hain jo aap consider kar sakte hain:

1. **Axis Bluechip Fund**: Ye large-cap fund hai jo established companies mein invest karta hai. Iska performance stable raha hai aur long-term investors ke liye achha option hai.

2. **Mirae Asset Large Cap Fund**: Ye bhi ek large-cap mutual fund hai, jo market ke top companies mein invest karta hai. Iska track record achha hai.

3. **HDFC Mid-Cap Opportunities Fund**: Agar aap mid-cap stocks mein invest karna chahte hain, to ye fund achha option hai. Ye thoda riskier hote hain, lekin long-term returns bhi achhe de sakte hain.

4. **SBI Small Cap Fund**: Small-cap funds high growth potential offer karte hain, lekin inka risk bhi zyada hota hai. Ye fund un investors ke liye hai jo high risk le sakte hain.

5. **UTI Nifty Index Fund**: Ye ek passively managed fund hai jo Nifty 50 index ko track karta hai. Ye low expense ratio ke sath aata hai aur ismein investment kar",5,5,5,5,20,none
P023,question,roman,"5000 ki SIP karna hai monthly, koi achi mutual fund bata?",Asking about best mutual fund for 5k SIP,gpt_4o,"मासिक SIP (Systematic Investment Plan) के लिए उपयुक्त म्यूचुअल फंड का चयन आपके निवेश लक्ष्यों, जोखिम सहनशीलता, और निवेश की अवधि पर निर्भर करता है। हालांकि, मैं कुछ लोकप्रिय और अच्छी प्रदर्शन करने वाली म्यूचुअल फंड श्रेणियाँ सुझा सकता हूँ जिनमें आप विचार कर सकते हैं। 

1. **लार्ज कैप फंड्स**:
   - उदाहरण: SBI Bluechip Fund, ICICI Prudential Bluechip Fund

2. **मिड कैप फंड्स**:
   - उदाहरण: Axis Midcap Fund, DSP Midcap Fund

3. **लार्ज और मिड कैप फंड्स**:
   - उदाहरण: Mirae Asset Emerging Bluechip Fund, Canara Robeco Emerging Equities Fund

4. **इक्विटी लिंक्ड सेविंग्स स्कीम (ELSS)**:
   - उदाहरण: Axis Long Term Equity Fund, Mirae Asset Tax Saver Fund

5. **इंडेक्स फंड्स**:
   - उदाहरण: UTI Nifty Index Fund, HDFC Index Fund - Nifty 50 Plan

आपको ध्यान रखना चाहिए कि म्यूचुअल फंड में निवेश करने से पहले, आपको अपने वित्तीय सलाहकार से परामर्श लेना चाहिए और फंड के पिछले प्रदर्शन, प्रबंधन की गुणवत्ता, और फंड की संरचना को भलीभांति समझना चाहिए।",5,5,5,5,20,none
P024,question,roman,Bhai 10th ke baad commerce lu ya science? Confused hu.,Asking about which stream to choose after 10th standard,qwen_3b_base,"It's common to feel confused about career choices after completing your 10th grade. Deciding between Commerce and Science depends on various factors like personal interests, aptitudes, and future career aspirations.

### Commerce:
- **Field of Study:** Economics, Accountancy, Business Studies, Finance, etc.
- **Career Opportunities:** Accountant, Financial Analyst, Bank Manager, Tax Consultant, etc.
- **Job Market:** Often has a steady demand, especially in urban areas or with good networking.
- **Advantages:** Can be suitable if you enjoy analyzing data and numbers, prefer structured environments, and have an interest in finance and business.

### Science:
- **Field of Study:** Physics, Chemistry, Biology, Computer Science, Environmental Science, etc.
- **Career Opportunities:** Researcher, Engineer, Scientist, Doctor, Software Developer, Environmental Consultant, etc.
- **Job Market:** Can be competitive but offers high growth potential in industries like technology, pharmaceuticals, and research.
- **Advantages:** If you're interested in problem-solving, scientific discovery, and innovation, this field could be very rewarding.

### Considerations:
1. **Interests and Aptitudes:** Choose the field that aligns more closely with your interests and strengths.
2. **Future Career Goals:** Think about what kind of work you want to do in the long term.
3. **Educational Requirements:** Check the specific qualifications required for different careers within Commerce and Science.
4. **Job Market Outlook:**",1,5,5,3,14,language_drift_english
P024,question,roman,Bhai 10th ke baad commerce lu ya science? Confused hu.,Asking about which stream to choose after 10th standard,gpt_4o_mini,"Yeh decision aapke interest aur career goals par depend karta hai. Agar aapko science, maths, aur technology mein interest hai aur aap engineering, medical, ya research field mein jaana chahte hain, toh aapko science lena chahiye. 

Lekin agar aap business, finance, accounts, ya economics mein interest rakhte hain, toh commerce aapke liye behtar hoga. Commerce se aap CA, CS, MBA, ya kisi aur business-related field mein kar sakte hain.

Aapko yeh sochna chahiye ki aapki strengths kya hain, aapko kis subject mein maza aata hai, aur aapka career goal kya hai. Apne teachers, parents, aur seniors se bhi baat karke aapko achhe insights mil sakte hain. Ultimately, jo bhi aap decide karein, woh aapke liye best hona chahiye.",5,5,5,5,20,none
P024,question,roman,Bhai 10th ke baad commerce lu ya science? Confused hu.,Asking about which stream to choose after 10th standard,gpt_4o,"Ye faisla lena thoda mushkil ho sakta hai, lekin yeh tumhari interests aur future goals par depend karta hai. Main kuch points deta hoon jo tumhari madad kar sakte hain:

1. **Interests:**
   - Agar tumhe mathematics, physics, chemistry, ya biology mein interest hai, toh science stream consider karna chahiye.
   - Agar tumhe economics, business studies, accounts pasand hain, toh commerce stream sahi rahegi.

2. **Career Goals:**
   - Science stream zyada options deti hai jaise engineering, medical, research, etc.
   - Commerce stream se tum CA, CS, MBA, finance, banking, aur business-related fields mein ja sakte ho.

3. **Aptitude:**
   - Apne aptitude ko samjhne ke liye career counseling ya aptitude tests ka sahara le sakte ho. Ye tumhe better understanding denge ki kis field mein tumhara natural inclination hai.

4. **Parental and Peer Advice:**
   - Apne parents aur teachers se baat karo. Unka experience tumhe achha guidance de sakta hai. Lekin aakhir mein decision tumhe hi lena hai.

5. **Scope and Opportunities:**
   - Har stream mein growth aur success ke chances hain. Isliye jisme tumhe lagan aur interest ho, usi ko chuno.

Agar tum abhi bhi confusion mein ho,",5,5,5,5,20,none
P025,question,roman,Bhai aaj khelne chalega kya Badmintion raat mein?,Asking about whether he will come to play badminton at night,qwen_3b_base,"Sorry for the confusion, but I don't have real-time data or the ability to predict future events. However, I can help you understand if you're asking about playing badminton tonight or perhaps if you want to schedule a badminton match?

If you're looking to play badminton tonight, you'll need to check your local facilities or online resources to see if any matches or sessions are happening in your area. If it's an organized event, it should be announced through social media, local sports clubs, or community boards.

If you'd like to organize a badminton session with someone, we can discuss how to set that up! Let me know and I can assist further.",1,2,3,2,8,intent_miss
P025,question,roman,Bhai aaj khelne chalega kya Badmintion raat mein?,Asking about whether he will come to play badminton at night,gpt_4o_mini,"Haan, bilkul! Badminton khelne ka maza hi alag hai. Raat mein khelne ka plan bana lete hain. Tumhe kis waqt theek rahega?",5,5,5,5,20,none
P025,question,roman,Bhai aaj khelne chalega kya Badmintion raat mein?,Asking about whether he will come to play badminton at night,gpt_4o,"Mujhe khelne ka toh mauka nahi milta, lekin agar tumhe sath chahiye toh kisi dost ko invite kar lo. Raat mein badminton khelna mazedaar ho sakta hai, bas ensure kar lo ki court ki lighting theek ho. Enjoy!",5,5,5,5,20,none
P026,question,roman,Bhai konsi job mai sabse jyada paisa hai abhi?,Asking which job has max salary,qwen_3b_base,"Aapko koshish karne ke liye mitti mein sabse jyada paisa mil sakta hai. Mitti ki maan aur koshish par aapka harsha aur shubh karma ka saamna hai. 

Kami nahi pata exact market sey rate baki jobs ki, lekin apni maalik aur hardwork par kisi job mein maximum paisa mil sakta hai. Aapke pas kisi specific job ki baat karne ke liye contact karna chahta hoon, aap mujhe aapka resume, skills aur experience se batayenge to apne job sey best results chalega.",1,1,1,1,4,hallucinated_words
